2025-09-08 15:58:42.027 INFO  - addHandlerRouter cmd=CS_Login router=GateLoginController$$Lambda/0x0000026a11185fb0
2025-09-08 21:19:23.514 INFO  - addHandlerRouter cmd=CS_Login router=GateLoginController$$Lambda/0x0000019f5b137dc8
2025-09-08 21:19:23.517 INFO  - 服务器开始启动
2025-09-08 21:19:23.521 INFO  - 开始启动 Nacos 
2025-09-08 21:19:34.685 INFO  - addHandlerRouter cmd=CS_Login router=GateLoginController$$Lambda/0x00000218ae184000
2025-09-08 21:19:34.688 INFO  - 服务器开始启动
2025-09-08 21:19:34.693 INFO  - 开始启动 Nacos 
2025-09-08 21:24:47.626 INFO  - addHandlerRouter cmd=CS_Login router=GateLoginController$$Lambda/0x0000017193180288
2025-09-08 21:24:47.629 INFO  - 服务器开始启动
2025-09-08 21:24:47.637 INFO  - 开始启动 Nacos 
2025-09-08 21:26:23.419 INFO  - addHandlerRouter cmd=CS_Login router=GateLoginController$$Lambda/0x00000252041804f0
2025-09-08 21:26:23.422 INFO  - 服务器开始启动
2025-09-08 21:26:23.423 INFO  - 开始启动 Nacos 
2025-09-08 21:27:55.962 INFO  - addHandlerRouter cmd=CS_Login router=GateLoginController$$Lambda/0x000001dcc7137dc8
2025-09-08 21:27:55.965 INFO  - 服务器开始启动
2025-09-08 21:27:55.973 INFO  - 开始启动 Nacos 
2025-09-08 21:28:38.370 INFO  - 当前节点数量:0, 新增服务器节点: Instance{instanceId='gate1001', ip='127.0.0.1', port=12002, weight=1.0, healthy=true, enabled=true, ephemeral=true, clusterName='GATE', serviceName='ly@@rpc_node_list_service', metadata={loadNum=0, serverId=gate1001, serverType=GATE}}
2025-09-08 21:28:38.372 INFO  -  Nacos 启动成功,耗时: 42399ms 
2025-09-08 21:28:38.375 INFO  - 开始加载配置表
2025-09-08 21:28:38.386 INFO  - 加载策划表 HeroInfoConfigManager  耗时 11 (毫秒)
2025-09-08 21:28:38.386 INFO  - 加载配置表完成, 耗时:11 (毫秒)
2025-09-08 21:28:47.198 INFO  - 服务器启动成功:[NetServer-12002], port:12002
2025-09-08 21:28:47.200 INFO  - 服务器 启动成功 耗时: 51234ms
2025-09-08 21:33:12.960 INFO  - addHandlerRouter cmd=CS_Login router=GateLoginController$$Lambda/0x000001d85c1804f0
2025-09-08 21:33:12.962 INFO  - 服务器开始启动
2025-09-08 21:33:12.971 INFO  - 开始启动 Nacos 
2025-09-08 21:33:13.779 INFO  - 当前节点数量:0, 新增服务器节点: Instance{instanceId='gate1001', ip='127.0.0.1', port=12002, weight=1.0, healthy=true, enabled=true, ephemeral=true, clusterName='GATE', serviceName='ly@@rpc_node_list_service', metadata={loadNum=0, serverId=gate1001, serverType=GATE}}
2025-09-08 21:33:13.780 INFO  -  Nacos 启动成功,耗时: 809ms 
2025-09-08 21:33:13.783 INFO  - 开始加载配置表
2025-09-08 21:33:13.787 INFO  - 加载策划表 HeroInfoConfigManager  耗时 4 (毫秒)
2025-09-08 21:33:13.787 INFO  - 加载配置表完成, 耗时:4 (毫秒)
2025-09-08 21:33:22.961 INFO  - 服务器启动成功:[NetServer-12002], port:12002
2025-09-08 21:33:22.963 INFO  - 服务器 启动成功 耗时: 9999ms
2025-09-08 21:36:19.666 INFO  - addHandlerRouter cmd=CS_Login router=GateLoginController$$Lambda/0x00000218a21ae220
2025-09-08 21:36:19.668 INFO  - 服务器开始启动
2025-09-08 21:36:19.669 INFO  - 开始启动 Nacos 
2025-09-08 21:36:20.410 INFO  - 当前节点数量:0, 新增服务器节点: Instance{instanceId='login', ip='127.0.0.1', port=12003, weight=1.0, healthy=true, enabled=true, ephemeral=true, clusterName='LOGIN', serviceName='ly@@rpc_node_list_service', metadata={loadNum=0, serverId=login, serverType=LOGIN}}
2025-09-08 21:36:20.417 INFO  -  Nacos 启动成功,耗时: 748ms 
2025-09-08 21:36:20.419 INFO  - 开始加载配置表
2025-09-08 21:36:20.423 INFO  - 加载策划表 HeroInfoConfigManager  耗时 4 (毫秒)
2025-09-08 21:36:20.423 INFO  - 加载配置表完成, 耗时:4 (毫秒)
2025-09-08 21:36:20.978 INFO  - 当前节点数量:1, 新增服务器节点: Instance{instanceId='gate1001', ip='127.0.0.1', port=12002, weight=1.0, healthy=true, enabled=true, ephemeral=true, clusterName='GATE', serviceName='ly@@rpc_node_list_service', metadata={loadNum=0, serverId=gate1001, serverType=GATE}}
2025-09-08 21:36:29.036 INFO  - 服务器启动成功:[NetServer-12002], port:12002
2025-09-08 21:36:29.038 INFO  - 服务器 启动成功 耗时: 9370ms
